"county_name","votes_per_10000_DEM","votes_per_10000_REP","votes_per_10000_UNA","total_votes_per_10000"
"Queen Anne's",1303.86609156741,3243.63895374144,864.231728067746,5411.7367733766
"Calvert",1452.00316909702,2582.17168797242,901.051369349693,4935.22622641913
"Talbot",1619.65376782077,2363.54378818737,717.922606924644,4701.12016293279
"Saint Mary's",1172.39300783605,2313.76094741694,736.446477325107,4222.6004325781
"Harford",1307.58776896942,2156.66289165723,691.732729331823,4155.98338995847
"Charles",2530.35077151198,920.60145498355,573.5369074649,4024.48913396043
"Carroll",921.68764901692,2409.72598163996,673.470092952004,4004.88372360889
"Garrett",535.627220171345,2813.26182350073,343.386501358222,3692.2755450303
"Worcester",927.517972281924,2147.03920551397,570.666271399985,3645.22344919588
"Kent",1537.62160015882,1514.79054993051,507.246376811594,3559.65852690093
"Howard",1946.90476190476,840.47619047619,758.452380952381,3545.83333333333
"Cecil",748.709287373088,2192.58008176113,527.800702454753,3469.09007158897
"Anne Arundel",1413.54063642409,1352.91595920999,656.576055952931,3423.03265158701
"Frederick",1204.18203290851,1454.36497873481,700.4832667966,3359.03027843992
"Washington",835.024377388325,1908.68362103044,546.58057715114,3290.2885755699
"Caroline",767.774754525021,2047.20217674199,442.446468709334,3257.42339997634
"Somerset",996.32319971303,1887.72307416375,345.26051475204,3229.30678862882
"Prince George's",2519.75872280264,169.149250768676,320.737442931623,3009.64541650294
"Wicomico",1109.89925131713,1432.11017654127,454.570662722987,2996.58009058138
"Dorchester",1106.61424606846,1483.00185013876,346.322849213691,2935.93894542091
"Montgomery",1791.37073469961,487.613353337226,581.492457892053,2860.47654592889
"Baltimore County",1553.97805720751,866.172314005985,406.056156845841,2826.20652805934
"Allegany",501.720983596391,1420.81925020931,282.799466650129,2205.33970045583
"Baltimore City",1440.73075194246,97.5406151672767,164.804469273743,1703.07583638348
